,count,unique,top,freq,mean,std,min,25%,50%,75%,max
q1,22768,147,Ecuador,3201,,,,,,,
q32b,22768.0,,,,3.047610681658468,0.8638199059092402,1.0,3.0,3.0,3.0,5.0
q32c,22768.0,,,,1.3966092761770907,0.8015834637609554,1.0,1.0,1.0,1.0,5.0
q32d,22768.0,,,,1.4458450456781449,0.8779627523505302,1.0,1.0,1.0,2.0,5.0
q32e,22768.0,,,,3.1451159522136334,0.9136894129772714,1.0,3.0,3.0,4.0,5.0
q32f,22768.0,,,,1.944790934645116,0.7737854306517614,1.0,1.0,2.0,2.0,5.0
q32g,22768.0,,,,2.9902494729444835,0.885549534913099,1.0,3.0,3.0,3.0,5.0
q32h,22768.0,,,,3.066452916373858,0.8838769663069056,1.0,3.0,3.0,3.0,5.0
q32i,22768.0,,,,2.748023541813071,0.9667328762193111,1.0,2.0,3.0,3.0,5.0
q32j,22768.0,,,,2.0322382290934646,0.823789166823328,1.0,2.0,2.0,2.0,5.0
q32k,22768.0,,,,2.918306394940267,0.8815281270768623,1.0,3.0,3.0,3.0,5.0
q32l,22768.0,,,,3.6909697821503866,0.9059440076806587,1.0,3.0,4.0,4.0,5.0
q32m,22768.0,,,,2.9539704848910753,0.9373524643294054,1.0,3.0,3.0,3.0,5.0
q32n,22768.0,,,,2.7494729444834856,0.8400679338062413,1.0,2.0,3.0,3.0,5.0
q32o,22768.0,,,,2.1102863668306395,0.823782069911783,1.0,2.0,2.0,2.0,5.0
q33,22768.0,,,,3.6444132115249475,0.7910635787662997,1.0,3.0,4.0,4.0,5.0
q34,22768.0,,,,2.3431131412508783,0.8948690542046157,1.0,1.0,3.0,3.0,3.0
q35a,22768.0,,,,3.7629567814476457,0.7727651485754045,1.0,3.0,4.0,4.0,5.0
q35b,22768.0,,,,4.052837315530569,0.8726488899308732,1.0,4.0,4.0,5.0,5.0
q35c,22768.0,,,,4.058459241040056,0.8187847818057342,1.0,4.0,4.0,5.0,5.0
q35d,22768.0,,,,3.6809996486296557,0.8809312697158869,1.0,3.0,4.0,4.0,5.0
q35e,22768.0,,,,3.7345397048489106,0.8971230175500101,1.0,3.0,4.0,4.0,5.0
q35f,22768.0,,,,2.9995168657765285,1.0278973084770844,1.0,3.0,3.0,4.0,5.0
q35g,22768.0,,,,3.3325720309205904,0.9114086010494458,1.0,3.0,3.0,4.0,5.0
q35h,22768.0,,,,2.9635014054813773,0.9490621731810054,1.0,2.0,3.0,3.0,5.0
q35i,22768.0,,,,3.6866654954321856,0.8316517045418585,1.0,3.0,4.0,4.0,5.0
q35j,22768.0,,,,3.021828882642305,1.0019121492074594,1.0,2.0,3.0,4.0,5.0
q35k,22768.0,,,,3.638264230498946,0.8400091245394286,1.0,3.0,4.0,4.0,5.0
q35l,22768.0,,,,3.3291461700632468,0.8528430488285466,1.0,3.0,3.0,4.0,5.0
q35m,22768.0,,,,3.602863668306395,0.8742996818164737,1.0,3.0,4.0,4.0,5.0
q35n,22768.0,,,,4.054462403373155,0.8361760260532455,1.0,4.0,4.0,5.0,5.0
q36,22768.0,,,,1.3988492621222768,0.697083063116886,1.0,1.0,1.0,2.0,3.0
q37,22768.0,,,,1.7094167252283907,0.45404150661722026,1.0,1.0,2.0,2.0,2.0
q38,22768.0,,,,2.599130358397751,0.6722956929123477,1.0,2.0,3.0,3.0,3.0
q39,22768.0,,,,2.901133169360506,0.7354524847205384,1.0,3.0,3.0,3.0,5.0
q40a,22768.0,,,,3.2906271960646523,0.9448238181911357,1.0,3.0,3.0,4.0,5.0
q40b,22768.0,,,,3.909039002108222,0.7665716464468924,1.0,4.0,4.0,4.0,5.0
q40c,22768.0,,,,3.758169360505973,0.8601023273320753,1.0,3.0,4.0,4.0,5.0
q40d,22768.0,,,,3.2139845397048488,0.9375798485211156,1.0,3.0,3.0,4.0,5.0
q40e,22768.0,,,,3.9700456781447646,0.7629231313380125,1.0,4.0,4.0,4.0,5.0
q40f,22768.0,,,,3.7660312719606464,0.8277866599635422,1.0,3.0,4.0,4.0,5.0
q40g,22768.0,,,,4.164660927617709,0.7161854543749484,1.0,4.0,4.0,5.0,5.0
q40h,22768.0,,,,3.9271345748418836,0.8029384547160971,1.0,4.0,4.0,4.0,5.0
q40i,22768.0,,,,3.711612789880534,0.9096402623435409,1.0,3.0,4.0,4.0,5.0
q40j,22768.0,,,,3.9551563598032327,0.8122685200154156,1.0,4.0,4.0,4.0,5.0
q40k,22768.0,,,,3.612174982431483,0.903707173756946,1.0,3.0,4.0,4.0,5.0
q40l,22768.0,,,,3.7135453267744203,0.8661393250512659,1.0,3.0,4.0,4.0,5.0
q40m,22768.0,,,,3.851282501756852,0.7925965949185522,1.0,3.0,4.0,4.0,5.0
q40n,22768.0,,,,3.569132115249473,0.9555313662934972,1.0,3.0,4.0,4.0,5.0
q40o,22768.0,,,,3.775474349964863,0.8054538281796847,1.0,3.0,4.0,4.0,5.0
source,22768,7,EN,14836,,,,,,,
age,22699.0,,,,22.96334640292524,6.246625678973809,16.0,20.0,21.0,23.0,60.0
